product_id,Product_Type,Product_name,Product_Cat_1,Product_Cat_2
42347175903429,Sample,Sample Holiday Scent Bundle,Scent Sample,Bundle
41339626488005,Sample,Scent Sample Misty Monte,Scent Sample,Misty Monte
41339626389701,Sample,Scent Sample Dreamy Dunes,Scent Sample,Dreamy Dunes
41339626422469,Sample,Scent Sample Lazy Lulu,Scent Sample,Lazy Lulu
41339626455237,Sample,Scent Sample Mellow Mocha,Scent Sample,Mellow Mocha
41339626520773,Sample,Scent Sample Scent Free,Scent Sample,Scent Free
41339626586309,Sample,Scent Sample Zest Zen,Scent Sample,Zesty Zen
41339626553541,Sample,Scent Sample Sorry Sucker,Scent Sample,Sorry Sucker
42347138384069,Sample,Scent Sample Mulled Magic,Scent Sample,Mulled Magic
42176568885445,Sample,Sample Scent Bundle,Scent Sample,Bundle
40863057477829,18oz candle,18oz Box Lazy Lulu + Vase,18oz candle + Vase,Lazy Lulu
40863057576133,18oz candle,18oz Box Sorry Sucker + Vase,18oz candle + Vase,Sorry Sucker
40863057445061,18oz candle,18oz Box Dreamy Dunes + Vase,18oz candle + Vase,Dreamy Dunes
40863085854917,18oz candle,18oz Box Scent Free + Vase,18oz candle + Vase,Scent Free
40863057608901,18oz candle,18oz Box Zesty Zen + Vase,18oz candle + Vase,Zesty Zen
40863057510597,18oz candle,18oz Box Mellow Mocha + Vase,18oz candle + Vase,Mellow Mocha
40863057543365,18oz candle,18oz Box Misty Monte + Vase,18oz candle + Vase,Misty Monte
42193617551557,Wicks,XL Event Wicks (100uni),Wicks,Wicks (100 units)
41134084751557,Wicks,Extra Wicks (30uni),Wicks,Wicks (30 units)
41236833632453,2gal bucket,2gal Pail Misty Monte,2gal Scented,Misty Monte
41236833697989,2gal bucket,2gal Pail Zesty Zen,2gal Scented,Zesty Zen
41236833501381,2gal bucket,2gal Pail White,2gal Scented,Scent Free
42347044143301,2gal bucket,2gal Pail Mulled Magic,2gal Scented,Mulled Magic
41236833566917,2gal bucket,2gal Pail Lazy Lulu,2gal Scented,Lazy Lulu
41236833665221,2gal bucket,2gal Pail Sorry Sucker,2gal Scented,Sorry Sucker
41236833599685,2gal bucket,2gal Pail Mellow Mocha,2gal Scented,Mellow Mocha
41236833534149,2gal bucket,2gal Pail Dreamy Dunes,2gal Scented,Dreamy Dunes
42356032110789,2gal bucket,2gal Pail Mulled Magic + Vase set,2gal Scented + Vase set,Mulled Magic
42263813685445,Sample,Sample Ocean Blue,Colored Sample,Ocean Blue
41339628650693,Sample,Sample Desert Rose,Colored Sample,Desert Rose
41339628617925,Sample,Sample Olive,Colored Sample,Olive
41339636875461,Sample,Sample Baby Blue,Colored Sample,Baby Blue
42181493031109,Sample,Sample All Color Bundle,Colored Sample,Bundle
41339628781765,Sample,Sample Charcoal,Colored Sample,Charcoal
42161749131461,Sample,Sample Plum,Colored Sample,Plum
41772053168325,Sample,Sample Pecan,Colored Sample,Pecan
41339636973765,Sample,Sample Lilac,Colored Sample,Lilac
42178855043269,Sample,Sample Naturals Bundle,Colored Sample,Bundle
42183741997253,Sample,Sample Ivory,Colored Sample,Ivory
41772053070021,Sample,Sample Smokey Sage,Colored Sample,Smokey Sage
41339628683461,Sample,Sample Black,Colored Sample,Black
42178855076037,Sample,Sample The Pastels Bundle,Colored Sample,Bundle
42178855010501,Sample,Sample Boldss Bundle,Colored Sample,Bundle
41772053102789,Sample,Sample Cloud,Colored Sample,Cloud
41339628748997,Sample,Sample Sangria,Colored Sample,Sangria
41772053135557,Sample,Sample Nude,Colored Sample,Nude
41339628814533,Sample,Sample Sand,Colored Sample,Sand
41772053201093,Sample,Sample Espresso,Colored Sample,Espresso
42169174360261,Sample,Sample Pumpkin,Colored Sample,Pumpkin
41339636908229,Sample,Sample White,Colored Sample,Scent Free
42169174098117,Sample,Sample Red,Colored Sample,Red
42183742390469,Sample,Sample Classic Navy,Colored Sample,Classic Navy
41339636842693,Sample,Sample Baby Pink,Colored Sample,Baby Pink
42183742292165,Sample,Sample Dark Emerald,Colored Sample,Dark Emerald
41339628716229,Sample,Sample Pistachio,Colored Sample,Pistachio
41339636940997,Sample,Sample Cherry Blossom,Colored Sample,Cherry Blossom
41200148480197,18oz candle,18oz Box Zesty Zen,18oz candle,Zesty Zen
42347040440517,18oz candle,18oz Box Mulled Magic,18oz candle,Mulled Magic
41200128753861,18oz candle,18oz Box Mellow Mocha,18oz candle,Mellow Mocha
42345978003653,18oz candle,18oz Box Festive Fir,18oz candle,Festive Fir
41200137240773,18oz candle,18oz Box Scent Free,18oz candle,Scent Free
41200129999045,18oz candle,18oz Box Misty Monte,18oz candle,Misty Monte
42355999211717,18oz candle,18oz Box Mulled Magic + Vase,18oz candle + Vase,Mulled Magic
41200107192517,18oz candle,18oz Box Lazy Lulu,18oz candle,Lazy Lulu
41200143827141,18oz candle,18oz Box Sorry Sucker,18oz candle,Sorry Sucker
41200104603845,18oz candle,18oz Box Dreamy Dunes,18oz candle,Dreamy Dunes
41772058083525,2gal bucket,2gal Pail Pecan,2gal Colored,Pecan
41772058116293,2gal bucket,2gal Pail Espresso,2gal Colored,Espresso
41623698342085,2gal bucket,2gal Pail Black,2gal Colored,Black
41623753064645,2gal bucket,2gal Pail Sangria,2gal Colored,Sangria
41772057985221,2gal bucket,2gal Pail Cloud,2gal Colored,Cloud
42247015170245,2gal bucket,2gal Pail Pistachio,2gal Colored,Pistachio
42216376369349,2gal bucket,2gal Pail Ivory,2gal Colored,Ivory
41772058017989,2gal bucket,2gal Pail Smokey Sage,2gal Colored,Smokey Sage
41623698440389,2gal bucket,2gal Pail Cherry Blossom,2gal Colored,Cherry Blossom
42255650390213,2gal bucket,2gal Pail Ocean Blue,2gal Colored,Ocean Blue
42255648522437,2gal bucket,2gal Pail Classic Navy,2gal Colored,Classic Navy
41623752966341,2gal bucket,2gal Pail Desert Rose,2gal Colored,Desert Rose
41772058050757,2gal bucket,2gal Pail Nude,2gal Colored,Nude
42211569336517,2gal bucket,2gal Pail Dark Emerald,2gal Colored,Dark Emerald
42255650357445,2gal bucket,2gal Pail Pumpkin,2gal Colored,Pumpkin
42011539079365,2gal bucket,2gal Pail Red,2gal Colored,Red
41623752999109,2gal bucket,2gal Pail Lilac,2gal Colored,Lilac
41623752933573,2gal bucket,2gal Pail Charcoal,2gal Colored,Charcoal
41623752900805,2gal bucket,2gal Pail Baby Pink,2gal Colored,Baby Pink
41623698407621,2gal bucket,2gal Pail Olive,2gal Colored,Olive
42011538555077,2gal bucket,2gal Pail Plum ,2gal Colored,Plum
41623698505925,2gal bucket,2gal Pail Baby Blue,2gal Colored,Baby Blue
42356055539909,2gal bucket,2gal Pail Baby Blue + Vase set,2gal Colored + Vase set,Baby Blue
41623698374853,2gal bucket,2gal Pail Sand,2gal Colored,Sand
41985847001285,Wicks,Bulk Wicks (100uni),Wicks,Wicks (100 units)
41744179101893,2gal bucket,2gal Pail Misty Monte + Vase set,2gal Scented + Vase set,Misty Monte
41744179003589,2gal bucket,2gal Pail Dreamy Dunes + Vase set,2gal Scented + Vase set,Dreamy Dunes
41744179134661,2gal bucket,2gal Pail Sorry Sucker + Vase set,2gal Scented + Vase set,Sorry Sucker
41744179069125,2gal bucket,2gal Pail Mellow Mocha + Vase set,2gal Scented + Vase set,Mellow Mocha
41744178970821,2gal bucket,2gal Pail White + Vase set,2gal Scented + Vase set,Scent Free
41772034359493,55lb bulk bag,55Lb Bulk Bag Cloud,55lb Bulk Bag,Cloud
42200203100357,55lb bulk bag,55Lb Bulk Bag Classic Navy,55lb Bulk Bag,Classic Navy
41610940383429,55lb bulk bag,55Lb Bulk Bag White,55lb Bulk Bag,White
41610990420165,55lb bulk bag,55Lb Bulk Bag Sand,55lb Bulk Bag,Sand
41771976425669,55lb bulk bag,55Lb Bulk Bag Nude,55lb Bulk Bag,Nude
41610940416197,55lb bulk bag,55Lb Bulk Bag Black,55lb Bulk Bag,Black
42200203198661,55lb bulk bag,55Lb Bulk Bag Dark Emerald,55lb Bulk Bag,Dark Emerald
42200202969285,55lb bulk bag,55Lb Bulk Bag Ivory,55lb Bulk Bag,Ivory
41972815757509,Wicks,Event Wicks - 100,Wicks,Wicks (100 units)
42354743738565,18oz candle,Duo Black / Nude,Duo,Black / Nude
42354744164549,18oz candle,Duo Nude / White,Duo,Nude / White
42365074800837,18oz candle,Duo Desert Rose / Desert Rose,Duo,Desert Rose / Desert Rose
42354743935173,18oz candle,Duo Dark Emerald / Red,Duo,Dark Emerald / Red
42365074505925,18oz candle,Duo Nude / Desert Rose,Duo,Nude / Desert Rose
42354731712709,18oz candle,Duo Red / Black,Duo,Red / Black
42365074309317,18oz candle,Duo Black / Desert Rose,Duo,Black / Desert Rose
