Unique_ID,Order_ID,order_name,Net_Quantity,total_sales,Channel_ID,Product_ID,Date,customer_type
1,4995843489989,105231,1,0,Draft Orders,42347175903429,9/8/2023,First-time
2,5012279525573,108361,1,0,Draft Orders,42347175903429,9/21/2023,First-time
3,5015840719045,108991,1,0,Draft Orders,42347175903429,9/25/2023,First-time
4,4999701233861,106431,1,0,Draft Orders,42347175903429,9/12/2023,First-time
5,4999424475333,106341,1,0,Draft Orders,42347175903429,9/12/2023,First-time
6,5012334444741,108381,1,0,Draft Orders,42347175903429,9/21/2023,First-time
7,4995842244805,105221,1,0,Draft Orders,42347175903429,9/8/2023,First-time
8,4995840377029,105211,1,0,Draft Orders,42347175903429,9/8/2023,First-time
9,4999421427909,106331,1,0,Draft Orders,42347175903429,9/12/2023,First-time
10,5015837049029,108981,1,0,Draft Orders,42347175903429,9/25/2023,First-time
11,4999468089541,106361,1,0,Draft Orders,42347175903429,9/12/2023,First-time
12,5015845798085,109001,1,0,Draft Orders,42347175903429,9/25/2023,First-time
13,5011183435973,108171,1,0,Draft Orders,42347175903429,9/20/2023,First-time
14,5012335395013,108391,1,0,Draft Orders,42347175903429,9/21/2023,Returning
15,4995837722821,105191,1,0,Draft Orders,42347175903429,9/8/2023,First-time
16,4932625825989,91651,1,2.55,Online Store,41339626488005,7/10/2023,First-time
17,4979300696261,101821,1,2.99,Shop,41339626488005,8/24/2023,Returning
18,4984090624197,102871,1,2.99,Online Store,41339626488005,8/29/2023,First-time
19,5018807042245,109721,1,2.54,Online Store,41339626488005,9/28/2023,First-time
20,4988182429893,103601,1,2.99,Online Store,41339626488005,9/1/2023,First-time
21,4924918038725,89921,1,2.99,Online Store,41339626488005,7/2/2023,First-time
22,4970177691845,99841,1,2.55,Online Store,41339626488005,8/16/2023,First-time
23,4945675419845,94441,1,2.54,Online Store,41339626488005,7/23/2023,First-time
24,4926796202181,90371,1,2.54,Online Store,41339626488005,7/4/2023,First-time
25,5017367019717,109391,1,2.99,Online Store,41339626488005,9/26/2023,First-time
26,4980350288069,102161,1,2.99,Online Store,41339626488005,8/25/2023,First-time
27,4999284654277,106281,1,2.99,Online Store,41339626488005,9/12/2023,First-time
28,4970564550853,99951,1,2.99,Online Store,41339626488005,8/16/2023,Returning
29,5016969183429,109231,1,2.99,Online Store,41339626488005,9/26/2023,First-time
30,5015280124101,108901,1,2.99,Online Store,41339626488005,9/24/2023,First-time
31,4974986461381,100801,1,2.99,Online Store,41339626488005,8/20/2023,First-time
32,4966432866501,98941,1,2.55,Online Store,41339626488005,8/12/2023,First-time
33,4930932080837,91291,1,2.54,Online Store,41339626488005,7/8/2023,First-time
34,4937605349573,92581,1,2.99,Online Store,41339626488005,7/15/2023,First-time
35,4926948704453,90421,1,2.99,Online Store,41339626488005,7/4/2023,First-time
36,4945934909637,94561,1,2.99,Online Store,41339626488005,7/23/2023,First-time
37,4940174655685,93191,1,2.99,Online Store,41339626488005,7/17/2023,First-time
38,4999244480709,106251,1,2.54,Online Store,41339626488005,9/12/2023,First-time
39,4947485720773,94961,1,3.3,Facebook & Instagram,41339626488005,7/25/2023,First-time
40,4993354924229,104521,1,3.2,Facebook & Instagram,41339626488005,9/6/2023,First-time
41,4973372506309,100511,1,2.99,Online Store,41339626488005,8/19/2023,First-time
42,4996266033349,105311,1,3.26,Facebook & Instagram,41339626488005,9/8/2023,First-time
43,4996266033349,105311,0,0,Facebook & Instagram,41339626488005,9/11/2023,First-time
44,4994975072453,104911,1,2.99,Online Store,41339626488005,9/7/2023,First-time
45,4924639740101,89831,1,2.99,Online Store,41339626488005,7/2/2023,First-time
46,4974615134405,100711,1,2.55,Online Store,41339626488005,8/20/2023,First-time
47,5005712588997,107691,1,0,Online Store,41339626488005,9/18/2023,Returning
48,4944936206533,94251,1,2.99,Online Store,41339626488005,7/22/2023,First-time
49,4980334854341,102131,1,2.99,Online Store,41339626488005,8/25/2023,First-time
50,5006640742597,107891,1,2.99,Online Store,41339626488005,9/19/2023,First-time
51,4933755142341,91891,10,32.96,Online Store,41339626488005,7/11/2023,Returning
52,5018924187845,109801,1,2.99,Online Store,41339626488005,9/28/2023,First-time
53,4931596222661,91501,1,2.54,Online Store,41339626488005,7/9/2023,First-time
54,5014896083141,108821,1,3.28,Online Store,41339626488005,9/24/2023,First-time
55,4924630761669,89811,1,0,Draft Orders,41339626488005,7/2/2023,Returning
56,5007321104581,108011,2,5.09,Online Store,41339626488005,9/19/2023,First-time
57,4988255338693,103611,1,2.99,Online Store,41339626488005,9/1/2023,First-time
58,5005224706245,107631,1,2.99,Online Store,41339626488005,9/17/2023,First-time
59,4929559167173,90921,3,8.97,Online Store,41339626488005,7/7/2023,First-time
60,4931079897285,91341,1,2.99,Online Store,41339626488005,7/9/2023,Returning
61,4997246877893,105591,1,2.99,Online Store,41339626488005,9/9/2023,First-time
62,4965158748357,98631,1,2.99,Online Store,41339626488005,8/10/2023,First-time
63,4936768913605,92361,1,2.99,Online Store,41339626488005,7/14/2023,First-time
64,4964982784197,98581,1,2.99,Online Store,41339626488005,8/10/2023,First-time
65,4979693158597,101921,1,3.17,Facebook & Instagram,41339626488005,8/25/2023,First-time
66,4963888431301,98321,1,2.99,Online Store,41339626488005,8/9/2023,First-time
67,4975765586117,100951,3,8.97,Online Store,41339626488005,8/21/2023,First-time
68,4944298148037,94061,1,2.99,Online Store,41339626488005,7/21/2023,Returning
69,4942279311557,93661,1,2.99,Online Store,41339626488005,7/19/2023,First-time
70,4960404799685,97541,1,2.99,Online Store,41339626488005,8/6/2023,First-time
71,4955921187013,96611,1,2.99,Online Store,41339626488005,8/2/2023,First-time
72,4957134454981,96891,2,5.98,Online Store,41339626488005,8/3/2023,Returning
73,4981439987909,102341,1,2.99,Online Store,41339626488005,8/26/2023,First-time
74,4948401389765,95241,1,2.99,Online Store,41339626488005,7/26/2023,First-time
75,4945828315333,94521,1,3.3,Online Store,41339626488005,7/23/2023,First-time
76,4952214339781,95871,1,2.99,Online Store,41339626488005,7/29/2023,First-time
77,4961358414021,97681,1,2.54,Online Store,41339626488005,8/7/2023,First-time
78,5008919756997,108061,1,2.99,Online Store,41339626488005,9/20/2023,Returning
79,5004059181253,107261,1,2.99,Online Store,41339626488005,9/16/2023,First-time
80,4981439987909,102341,1,2.99,Online Store,41339626389701,8/26/2023,First-time
81,5016666538181,109151,1,2.99,Online Store,41339626389701,9/26/2023,First-time
82,4998047793349,105981,1,2.54,Online Store,41339626389701,9/10/2023,First-time
83,4954403209413,96331,1,2.54,Online Store,41339626389701,7/31/2023,First-time
84,4967832715461,99311,1,2.54,Online Store,41339626389701,8/13/2023,First-time
85,4926948704453,90421,1,2.99,Online Store,41339626389701,7/4/2023,First-time
86,4970564550853,99951,1,2.99,Online Store,41339626389701,8/16/2023,Returning
87,4956532441285,96721,1,3.3,Online Store,41339626389701,8/2/2023,Returning
88,4979458179269,101861,1,2.99,Online Store,41339626389701,8/25/2023,First-time
89,4966246711493,98911,1,2.55,Online Store,41339626389701,8/11/2023,First-time
90,4980978122949,102201,1,2.99,Online Store,41339626389701,8/26/2023,First-time
91,4940442632389,93231,1,2.99,Online Store,41339626389701,7/18/2023,First-time
92,4960404799685,97541,1,2.99,Online Store,41339626389701,8/6/2023,First-time
93,4957431365829,97001,1,2.54,Online Store,41339626389701,8/3/2023,First-time
94,4994667577541,104791,1,2.99,Online Store,41339626389701,9/7/2023,First-time
95,5005224706245,107631,1,2.99,Online Store,41339626389701,9/17/2023,First-time
96,4984186306757,102911,1,2.99,Online Store,41339626389701,8/29/2023,First-time
97,4985577930949,103221,1,2.99,Online Store,41339626389701,8/30/2023,First-time
98,4947485720773,94961,1,3.3,Facebook & Instagram,41339626389701,7/25/2023,First-time
99,4968299135173,99421,1,2.54,Online Store,41339626389701,8/14/2023,First-time
100,4963888431301,98321,1,2.99,Online Store,41339626389701,8/9/2023,First-time
101,4930932080837,91291,1,2.54,Online Store,41339626389701,7/8/2023,First-time
102,4942302478533,93681,-1,-2.99,Online Store,41339626389701,7/20/2023,First-time
103,4942302478533,93681,1,2.99,Online Store,41339626389701,7/19/2023,First-time
104,4957134454981,96891,2,5.98,Online Store,41339626389701,8/3/2023,Returning
105,4997771690181,105801,1,2.99,Online Store,41339626389701,9/10/2023,First-time
106,5008919756997,108061,1,2.99,Online Store,41339626389701,9/20/2023,Returning
107,4944736616645,94161,1,2.99,Online Store,41339626389701,7/22/2023,First-time
108,4993354924229,104521,1,3.2,Facebook & Instagram,41339626389701,9/6/2023,First-time
109,4965158748357,98631,1,2.99,Online Store,41339626389701,8/10/2023,First-time
110,4944298148037,94061,1,2.99,Online Store,41339626389701,7/21/2023,Returning
111,4926796202181,90371,1,2.54,Online Store,41339626389701,7/4/2023,First-time
112,5014452633797,108771,1,2.99,Online Store,41339626389701,9/23/2023,First-time
113,4949072838853,95411,1,2.55,Online Store,41339626389701,7/26/2023,First-time
114,5018924187845,109801,1,2.99,Online Store,41339626389701,9/28/2023,First-time
115,4980334854341,102131,1,2.99,Online Store,41339626389701,8/25/2023,First-time
116,4974986461381,100801,1,2.99,Online Store,41339626389701,8/20/2023,First-time
117,4988255338693,103611,1,2.99,Online Store,41339626389701,9/1/2023,First-time
118,4961358414021,97681,1,2.54,Online Store,41339626389701,8/7/2023,First-time
119,4973372506309,100511,1,2.99,Online Store,41339626389701,8/19/2023,First-time
120,4937605349573,92581,1,2.99,Online Store,41339626389701,7/15/2023,First-time
121,4989872275653,103881,1,2.55,Online Store,41339626389701,9/2/2023,First-time
122,4994725937349,104811,1,2.54,Online Store,41339626389701,9/7/2023,First-time
123,4971764515013,100311,1,2.54,Online Store,41339626389701,8/17/2023,First-time
124,4952214339781,95871,1,2.99,Online Store,41339626389701,7/29/2023,First-time
125,4997581177029,105701,1,3.23,Facebook & Instagram,41339626389701,9/10/2023,First-time
126,4997581177029,105701,0,0,Facebook & Instagram,41339626389701,9/11/2023,First-time
127,4945934909637,94561,1,2.99,Online Store,41339626389701,7/23/2023,First-time
128,5004059181253,107261,1,2.99,Online Store,41339626389701,9/16/2023,First-time
129,4994975072453,104911,1,2.99,Online Store,41339626389701,9/7/2023,First-time
130,4940174655685,93191,1,2.99,Online Store,41339626389701,7/17/2023,First-time
131,4930017165509,91081,2,5.98,Online Store,41339626389701,7/7/2023,First-time
132,4947917504709,95111,1,2.99,Online Store,41339626389701,7/25/2023,First-time
133,4923344683205,89481,1,2.99,Online Store,41339626389701,7/1/2023,First-time
134,4988182429893,103601,1,2.99,Online Store,41339626389701,9/1/2023,First-time
135,5018924187845,109801,1,2.99,Online Store,41339626422469,9/28/2023,First-time
136,4932819157189,91721,1,2.55,Online Store,41339626422469,7/10/2023,First-time
137,4937896427717,92671,1,2.99,Online Store,41339626422469,7/15/2023,First-time
138,5016666538181,109151,1,2.99,Online Store,41339626422469,9/26/2023,First-time
139,4960404799685,97541,1,2.99,Online Store,41339626422469,8/6/2023,First-time
140,4930932080837,91291,1,2.54,Online Store,41339626422469,7/8/2023,First-time
141,4984090624197,102871,1,2.99,Online Store,41339626422469,8/29/2023,First-time
142,4968299135173,99421,1,2.55,Online Store,41339626422469,8/14/2023,First-time
143,5005224706245,107631,1,2.99,Online Store,41339626422469,9/17/2023,First-time
144,4941185515717,93421,1,2.99,Online Store,41339626422469,7/18/2023,Returning
145,4947917504709,95111,1,2.99,Online Store,41339626422469,7/25/2023,First-time
146,4980978122949,102201,1,2.99,Online Store,41339626422469,8/26/2023,First-time
147,4966208340165,98891,1,3.24,Facebook & Instagram,41339626422469,8/11/2023,First-time
148,4966208340165,98891,0,0,Facebook & Instagram,41339626422469,8/14/2023,First-time
149,4924639740101,89831,1,2.99,Online Store,41339626422469,7/2/2023,First-time
150,4940174655685,93191,1,2.99,Online Store,41339626422469,7/17/2023,First-time
151,4929860862149,91021,1,2.99,Online Store,41339626422469,7/7/2023,First-time
152,4947535626437,95001,1,2.54,Online Store,41339626422469,7/25/2023,First-time
153,4949072838853,95411,1,2.54,Online Store,41339626422469,7/26/2023,First-time
154,4926796202181,90371,1,2.54,Online Store,41339626422469,7/4/2023,First-time
155,4973372506309,100511,1,2.99,Online Store,41339626422469,8/19/2023,First-time
156,5004059181253,107261,1,2.99,Online Store,41339626422469,9/16/2023,First-time
157,4979458179269,101861,1,2.99,Online Store,41339626422469,8/25/2023,First-time
158,4994725937349,104811,1,2.54,Online Store,41339626422469,9/7/2023,First-time
159,4934126862533,91971,1,3.22,Online Store,41339626422469,7/11/2023,First-time
160,4966432866501,98941,1,2.55,Online Store,41339626422469,8/12/2023,First-time
161,5004157452485,107281,1,2.99,Online Store,41339626422469,9/16/2023,First-time
162,4983065706693,102661,1,2.55,Online Store,41339626422469,8/28/2023,First-time
163,4944298148037,94061,1,2.99,Online Store,41339626422469,7/21/2023,Returning
164,5016958501061,109221,1,2.99,Online Store,41339626422469,9/26/2023,First-time
165,4965158748357,98631,1,2.99,Online Store,41339626422469,8/10/2023,First-time
166,4957134454981,96891,2,5.98,Online Store,41339626422469,8/3/2023,Returning
167,4980088111301,102031,1,2.55,Online Store,41339626422469,8/25/2023,First-time
168,4980334854341,102131,1,2.99,Online Store,41339626422469,8/25/2023,First-time
169,4993354924229,104521,1,3.2,Facebook & Instagram,41339626422469,9/6/2023,First-time
170,4942279311557,93661,1,2.99,Online Store,41339626422469,7/19/2023,First-time
171,4931079897285,91341,1,2.99,Online Store,41339626422469,7/9/2023,Returning
172,4985715196101,103271,1,2.99,Online Store,41339626422469,8/30/2023,First-time
173,4939854053573,93111,1,2.99,Online Store,41339626422469,7/17/2023,First-time
174,4945934909637,94561,1,2.99,Online Store,41339626422469,7/23/2023,First-time
175,5005712588997,107691,1,0,Online Store,41339626422469,9/18/2023,Returning
176,4952214339781,95871,1,2.99,Online Store,41339626422469,7/29/2023,First-time
177,4940442632389,93231,1,2.99,Online Store,41339626422469,7/18/2023,First-time
178,4947485720773,94961,1,3.3,Facebook & Instagram,41339626455237,7/25/2023,First-time
179,4945934909637,94561,1,2.99,Online Store,41339626455237,7/23/2023,First-time
180,4994725937349,104811,1,2.54,Online Store,41339626455237,9/7/2023,First-time
181,4970120085701,99831,1,2.99,Online Store,41339626455237,8/15/2023,First-time
182,4999284654277,106281,1,2.99,Online Store,41339626455237,9/12/2023,First-time
183,4994975072453,104911,1,2.99,Online Store,41339626455237,9/7/2023,First-time
184,4972821512389,100401,1,0,Draft Orders,41339626455237,8/18/2023,Returning
